ap_rank,team_ap
1,Arizona
2,UConn
3,Michigan
4,Duke
5,Nebraska
6,Gonzaga
7,Michigan State
8,Iowa State
9,Illinois
10,Houston
11,Texas Tech
12,Purdue
13,BYU
14,Kansas
15,Arkansas
16,North Carolina
17,Virginia
18,Vanderbilt
19,Florida
20,Louisville
21,Saint Louis
22,Clemson
23,Alabama
24,Miami (OH)
25,St. John's
