kenpom_rank,team_kenpom,record
262,East Carolina,10-18
263,Florida Gulf Coast,14-17
264,UC Riverside,9-21
265,Southern Utah,9-19
266,Georgia Southern,16-15
267,Sacramento St.,9-20
268,Pepperdine,8-22
269,Western Michigan,10-19
270,Longwood,16-15
271,Lindenwood,16-14
272,Hampton,13-17
273,Incarnate Word,11-18
274,Northwestern St.,10-19
275,Bellarmine,12-18
276,North Carolina A&T,11-17
277,Morehead St.,19-12
278,South Dakota,16-15
279,Delaware,9-19
280,UTEP,10-19
281,Presbyterian,14-16
282,Brown,9-16
283,Southern,13-16
284,North Dakota,16-15
285,Eastern Kentucky,11-20
286,Mercyhurst,15-16
287,East Texas A&M,11-19
288,Grambling St.,12-16
289,Northeastern,6-22
290,Southeastern Louisiana,8-21
291,Mount St. Mary's,14-16
292,Le Moyne,15-16
293,Sacred Heart,13-18
294,USC Upstate,13-18
295,Lehigh,15-16
296,Houston Christian,11-18
297,Chattanooga,13-18
298,Central Connecticut,18-11
299,Georgia St.,10-21
300,Alabama A&M,16-12
301,UNC Greensboro,13-17
302,Tennessee Tech,13-17
303,Texas Southern,11-16
304,Jacksonville,11-19
305,West Georgia,14-16
306,Evansville,7-23
307,Little Rock,11-19
308,Alabama St.,9-19
309,Norfolk St.,14-14
310,Louisiana,10-21
311,Loyola Chicago,6-22
312,IU Indy,7-24
313,Wagner,13-16
314,Stetson,11-20
315,Northern Illinois,9-18
316,Arkansas Pine Bluff,12-16
317,Northern Arizona,10-20
318,Eastern Illinois,12-18
319,Albany,11-19
320,Cleveland St.,10-21
321,Florida A&M,12-15
322,Prairie View A&M,12-17
323,Loyola MD,12-19
324,UMass Lowell,13-17
325,Oral Roberts,8-22
326,Ball St.,9-19
327,Lafayette,11-20
328,NJIT,15-15
329,Cal St. Bakersfield,8-21
330,New Haven,14-17
331,North Florida,7-23
332,Manhattan,12-18
333,Holy Cross,10-21
334,Fairleigh Dickinson,11-20
335,Southern Indiana,7-22
336,Bucknell,9-22
337,Army,11-20
338,Alcorn St.,7-20
339,Stonehill,11-20
340,Jackson St.,9-19
341,UTSA,5-23
342,Niagara,8-21
343,North Alabama,9-20
344,Maryland Eastern Shore,8-20
345,Canisius,10-20
346,Air Force,3-26
347,Maine,8-22
348,Chicago St.,7-24
349,Morgan St.,12-14
350,New Hampshire,8-20
351,The Citadel,10-21
352,Louisiana Monroe,4-27
353,North Carolina Central,10-16
354,Bryant,9-20
355,Saint Francis,7-24
356,Kansas City,4-25
357,Rider,4-24
358,South Carolina St.,7-20
359,Binghamton,8-23
360,VMI,6-25
361,Delaware St.,6-20
362,Gardner Webb,3-28
363,Coppin St.,7-21
364,Western Illinois,5-25
365,Mississippi Valley St.,2-27
