net_name,net,source_url,updated_at_utc
Oklahoma,48,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
McNeese,49,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
VCU,50,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Akron,51,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Creighton,52,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Washington,53,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
New Mexico,54,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Texas A&M,55,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Illinois St.,56,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Virginia Tech,57,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
California,58,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Yale,59,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Miami (OH),60,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Wake Forest,61,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Belmont,62,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Wisconsin,63,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Kansas St.,64,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
South Fla.,65,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
George Washington,66,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Nevada,67,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Notre Dame,68,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
San Diego St.,69,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Colorado,70,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Texas,71,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Santa Clara,72,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Murray St.,73,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UNI,74,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Utah Valley,75,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Stanford,76,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
George Mason,77,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
UC San Diego,78,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Colorado St.,79,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Oklahoma St.,80,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
William & Mary,81,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Wichita St.,82,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Northwestern,83,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Missouri,84,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Providence,85,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Arizona St.,86,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Hawaii,87,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Hofstra,88,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Oregon,89,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Dayton,90,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
West Virginia,91,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
High Point,92,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Syracuse,93,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Minnesota,94,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Cincinnati,95,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Mississippi St.,96,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Fla. Atlantic,97,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Bowling Green,98,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Wyoming,99,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
SFA,100,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Ole Miss,101,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
Middle Tenn.,102,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
St. Bonaventure,103,https://www.ncaa.com/rankings/basketball-men/d1/ncaa-mens-basketball-net-rankings,2026-01-05T05:37:56.819829Z
