Team,KenPom_Rank,snapshot_date
San Diego,212,2026-01-05
Penn,213,2026-01-05
Abilene Christian,214,2026-01-05
Weber St.,215,2026-01-05
Saint Joseph's,216,2026-01-05
Iona,217,2026-01-05
UT Rio Grande Valley,218,2026-01-05
Tennessee Martin,219,2026-01-05
Monmouth,220,2026-01-05
New Orleans,221,2026-01-05
Louisiana Tech,222,2026-01-05
Oregon St.,223,2026-01-05
Central Arkansas,224,2026-01-05
Northeastern,225,2026-01-05
Jacksonville St.,226,2026-01-05
Wofford,227,2026-01-05
Southeast Missouri,228,2026-01-05
Charleston Southern,229,2026-01-05
Portland,230,2026-01-05
Lamar,231,2026-01-05
Lindenwood,232,2026-01-05
Samford,233,2026-01-05
Cal St. Fullerton,234,2026-01-05
American,235,2026-01-05
Tennessee St.,236,2026-01-05
Cal Poly,237,2026-01-05
Appalachian St.,238,2026-01-05
Brown,239,2026-01-05
Long Beach St.,240,2026-01-05
Radford,241,2026-01-05
Southern,242,2026-01-05
Hampton,243,2026-01-05
Dartmouth,244,2026-01-05
Eastern Washington,245,2026-01-05
Denver,246,2026-01-05
Merrimack,247,2026-01-05
Grambling St.,248,2026-01-05
Green Bay,249,2026-01-05
Old Dominion,250,2026-01-05
La Salle,251,2026-01-05
Princeton,252,2026-01-05
UNC Asheville,253,2026-01-05
Rice,254,2026-01-05
Pepperdine,255,2026-01-05
Stony Brook,256,2026-01-05
Purdue Fort Wayne,257,2026-01-05
Saint Peter's,258,2026-01-05
SIUE,259,2026-01-05
UTEP,260,2026-01-05
Coastal Carolina,261,2026-01-05
Central Connecticut,262,2026-01-05
Bellarmine,263,2026-01-05
Chattanooga,264,2026-01-05
UMBC,265,2026-01-05
Bethune Cookman,266,2026-01-05
Western Carolina,267,2026-01-05
Texas St.,268,2026-01-05
Western Michigan,269,2026-01-05
Nebraska Omaha,270,2026-01-05
Delaware,271,2026-01-05
Loyola Chicago,272,2026-01-05
Eastern Kentucky,273,2026-01-05
Southeastern Louisiana,274,2026-01-05
UNC Greensboro,275,2026-01-05
USC Upstate,276,2026-01-05
Fairfield,277,2026-01-05
Alabama St.,278,2026-01-05
Howard,279,2026-01-05
Evansville,280,2026-01-05
Presbyterian,281,2026-01-05
UC Riverside,282,2026-01-05
East Carolina,283,2026-01-05
Houston Christian,284,2026-01-05
Norfolk St.,285,2026-01-05
Detroit Mercy,286,2026-01-05
Drexel,287,2026-01-05
Sacramento St.,288,2026-01-05
Longwood,289,2026-01-05
South Dakota,290,2026-01-05
Northern Arizona,291,2026-01-05
Boston University,292,2026-01-05
Oral Roberts,293,2026-01-05
Cal St. Bakersfield,294,2026-01-05
Prairie View A&M,295,2026-01-05
Sacred Heart,296,2026-01-05
North Alabama,297,2026-01-05
West Georgia,298,2026-01-05
Le Moyne,299,2026-01-05
UMass Lowell,300,2026-01-05
Alabama A&M,301,2026-01-05
Northwestern St.,302,2026-01-05
UTSA,303,2026-01-05
Morehead St.,304,2026-01-05
Georgia St.,305,2026-01-05
Little Rock,306,2026-01-05
Mount St. Mary's,307,2026-01-05
Tennessee Tech,308,2026-01-05
Manhattan,309,2026-01-05
Wagner,310,2026-01-05
Bucknell,311,2026-01-05
North Carolina A&T,312,2026-01-05
Lafayette,313,2026-01-05
Bryant,314,2026-01-05
North Dakota,315,2026-01-05
Ball St.,316,2026-01-05
Eastern Illinois,317,2026-01-05
Northern Illinois,318,2026-01-05
Jacksonville,319,2026-01-05
Mercyhurst,320,2026-01-05
East Texas A&M,321,2026-01-05
Louisiana,322,2026-01-05
Albany,323,2026-01-05
Cleveland St.,324,2026-01-05
Lehigh,325,2026-01-05
Holy Cross,326,2026-01-05
Army,327,2026-01-05
Kansas City,328,2026-01-05
Southern Indiana,329,2026-01-05
Central Michigan,330,2026-01-05
Arkansas Pine Bluff,331,2026-01-05
Southern Utah,332,2026-01-05
Texas Southern,333,2026-01-05
Air Force,334,2026-01-05
VMI,335,2026-01-05
Maryland Eastern Shore,336,2026-01-05
New Hampshire,337,2026-01-05
Canisius,338,2026-01-05
New Haven,339,2026-01-05
IU Indy,340,2026-01-05
Florida A&M,341,2026-01-05
Alcorn St.,342,2026-01-05
North Florida,343,2026-01-05
Jackson St.,344,2026-01-05
Loyola MD,345,2026-01-05
Stetson,346,2026-01-05
Stonehill,347,2026-01-05
Maine,348,2026-01-05
North Carolina Central,349,2026-01-05
Rider,350,2026-01-05
Chicago St.,351,2026-01-05
Fairleigh Dickinson,352,2026-01-05
NJIT,353,2026-01-05
Louisiana Monroe,354,2026-01-05
Western Illinois,355,2026-01-05
Niagara,356,2026-01-05
Delaware St.,357,2026-01-05
The Citadel,358,2026-01-05
Gardner Webb,359,2026-01-05
South Carolina St.,360,2026-01-05
Morgan St.,361,2026-01-05
Saint Francis,362,2026-01-05
Binghamton,363,2026-01-05
Coppin St.,364,2026-01-05
Mississippi Valley St.,365,2026-01-05
