Team,SOS_Rank,snapshot_date
Richmond,217,2026-01-05
NC Asheville,218,2026-01-05
Southern Miss,219,2026-01-05
Idaho St,220,2026-01-05
Florida Intl,221,2026-01-05
Miami OH,222,2026-01-05
W Carolina,223,2026-01-05
Siena,224,2026-01-05
N Colorado,225,2026-01-05
NW State,226,2026-01-05
N Dakota St,227,2026-01-05
Hawai'i,228,2026-01-05
Portland,229,2026-01-05
Jacksonville,230,2026-01-05
Weber St,231,2026-01-05
Tulane,232,2026-01-05
Samford,233,2026-01-05
Air Force,234,2026-01-05
Purdue FW,235,2026-01-05
UTSA,236,2026-01-05
Columbia,237,2026-01-05
Grambling,238,2026-01-05
Denver,239,2026-01-05
St Thomas,240,2026-01-05
Sacramento St,241,2026-01-05
Pepperdine,242,2026-01-05
Utah Tech,243,2026-01-05
AR-Pine Bluff,244,2026-01-05
Coastal Car,245,2026-01-05
UMass,246,2026-01-05
Louisiana,247,2026-01-05
App State,248,2026-01-05
Bryant,249,2026-01-05
UCSB,250,2026-01-05
Abl Christian,251,2026-01-05
Albany,252,2026-01-05
Montana,253,2026-01-05
C Connecticut,254,2026-01-05
Boston U,255,2026-01-05
Kansas City,256,2026-01-05
S Alabama,257,2026-01-05
C Arkansas,258,2026-01-05
High Point,259,2026-01-05
Lamar,260,2026-01-05
Robert Morris,261,2026-01-05
Bellarmine,262,2026-01-05
SF Austin,263,2026-01-05
Marist,264,2026-01-05
N Florida,265,2026-01-05
Saint Joseph's,266,2026-01-05
Norfolk St,267,2026-01-05
E Texas A&M,268,2026-01-05
American,269,2026-01-05
Tennessee St,270,2026-01-05
SE Missouri St,271,2026-01-05
E Illinois,272,2026-01-05
Dartmouth,273,2026-01-05
Detroit Mercy,274,2026-01-05
E Carolina,275,2026-01-05
N Alabama,276,2026-01-05
Stony Brook,277,2026-01-05
Mt St Mary's,278,2026-01-05
Texas So,279,2026-01-05
Maine,280,2026-01-05
Sacred Heart,281,2026-01-05
Le Moyne,282,2026-01-05
Hou Christian,283,2026-01-05
Wofford,284,2026-01-05
N Arizona,285,2026-01-05
N Illinois,286,2026-01-05
NC Greensboro,287,2026-01-05
Little Rock,288,2026-01-05
CS Bakersfield,289,2026-01-05
Lafayette,290,2026-01-05
Georgia So,291,2026-01-05
Omaha,292,2026-01-05
Drexel,293,2026-01-05
New Hampshire,294,2026-01-05
Hampton,295,2026-01-05
UMass Lowell,296,2026-01-05
S Carolina St,297,2026-01-05
Chattanooga,298,2026-01-05
W Michigan,299,2026-01-05
Florida A&M,300,2026-01-05
Morehead St,301,2026-01-05
C Michigan,302,2026-01-05
Saint Peter's,303,2026-01-05
Missouri St,304,2026-01-05
N Kentucky,305,2026-01-05
Brown,306,2026-01-05
Holy Cross,307,2026-01-05
Manhattan,308,2026-01-05
W Georgia,309,2026-01-05
Jacksonville St,310,2026-01-05
SC Upstate,311,2026-01-05
Ball St,312,2026-01-05
Maryland ES,313,2026-01-05
NC Wilmington,314,2026-01-05
UT Martin,315,2026-01-05
Lindenwood,316,2026-01-05
Prairie View,317,2026-01-05
Louisiana Tech,318,2026-01-05
Radford,319,2026-01-05
Presbyterian,320,2026-01-05
S Utah,321,2026-01-05
Texas St,322,2026-01-05
Wagner,323,2026-01-05
Navy,324,2026-01-05
Delaware,325,2026-01-05
Buffalo,326,2026-01-05
North Dakota,327,2026-01-05
Fairfield,328,2026-01-05
Rider,329,2026-01-05
Tenn Tech,330,2026-01-05
IU Indy,331,2026-01-05
South Dakota,332,2026-01-05
NJIT,333,2026-01-05
Cleveland St,334,2026-01-05
Charleston So,335,2026-01-05
Lehigh,336,2026-01-05
Army,337,2026-01-05
Mercyhurst,338,2026-01-05
S Indiana,339,2026-01-05
Canisius,340,2026-01-05
