Date,Team,Location,Opponent,Team_Score,Opponent_Score,Win?
11/29,TN Wesleyan,Away,Tennessee St,77.0,98.0,No
11/29,North Carolina Central,Home,Carolina U,109.0,61.0,Yes
11/29,Carolina U,Away,North Carolina Central,61.0,109.0,No
11/29,Green Bay,Home,Haskell,95.0,55.0,Yes
11/29,Haskell,Away,Green Bay,55.0,95.0,No
11/29,GA Southern,Home,Hou Christian,80.0,62.0,Yes
11/29,Hou Christian,Away,GA Southern,62.0,80.0,No
11/29,Nebraska,Home,SC Upstate,72.0,63.0,Yes
11/29,SC Upstate,Away,Nebraska,63.0,72.0,No
11/29,N'Western St,Home,Southern,73.0,75.0,No
11/29,Southern,Away,N'Western St,75.0,73.0,Yes
11/29,Hofstra,Home,Merrimack,78.0,58.0,Yes
11/29,Merrimack,Away,Hofstra,58.0,78.0,No
11/29,Georgia,Home,Tennessee Tech,123.0,81.0,Yes
11/29,Tennessee Tech,Away,Georgia,81.0,123.0,No
11/29,High Point,Home,W Carolina,93.0,73.0,Yes
11/29,W Carolina,Away,High Point,73.0,93.0,No
11/29,George Mason,Home,James Madison,82.0,66.0,Yes
11/29,James Madison,Away,George Mason,66.0,82.0,No
11/29,UMBC,Home,Delaware St,71.0,57.0,Yes
11/29,Delaware St,Away,UMBC,57.0,71.0,No
11/29,Le Moyne,Home,Monmouth,83.0,79.0,Yes
11/29,Monmouth,Away,Le Moyne,79.0,83.0,No
11/29,Stetson,Home,Southern Utah,68.0,70.0,No
11/29,Southern Utah,Away,Stetson,70.0,68.0,Yes
11/29,IU Indy,Home,Morehead St,85.0,80.0,Yes
11/29,Morehead St,Away,IU Indy,80.0,85.0,No
11/29,Columbia,Home,Sarah Lawrence,92.0,44.0,Yes
11/29,Sarah Lawrence,Away,Columbia,44.0,92.0,No
11/29,Harvard,Home,Bryant,56.0,53.0,Yes
11/29,Bryant,Away,Harvard,53.0,56.0,No
11/29,Saint Francis,Home,Franciscan,85.0,60.0,Yes
11/29,Franciscan,Away,Saint Francis,60.0,85.0,No
11/29,Radford,Home,Notre Dame MD,102.0,75.0,Yes
11/29,Notre Dame MD,Away,Radford,75.0,102.0,No
11/29,SE Missouri,Home,Lipscomb,77.0,88.0,No
11/29,Lipscomb,Away,SE Missouri,88.0,77.0,Yes
11/29,UT Arlington,Home,SF Austin,66.0,61.0,Yes
11/29,SF Austin,Away,UT Arlington,61.0,66.0,No
11/29,UNC Wilmington,Home,Gardner-Webb,88.0,62.0,Yes
11/29,Gardner-Webb,Away,UNC Wilmington,62.0,88.0,No
11/29,Valparaiso,Home,W Michigan,84.0,55.0,Yes
11/29,W Michigan,Away,Valparaiso,55.0,84.0,No
11/29,Drake,Home,Georgia Tech,84.0,74.0,Yes
11/29,Georgia Tech,Away,Drake,74.0,84.0,No
11/29,So Indiana,Home,Kentucky St,93.0,56.0,Yes
11/29,Kentucky St,Away,So Indiana,56.0,93.0,No
11/29,Winthrop,Home,USC Upstate,101.0,79.0,Yes
11/29,USC Upstate,Away,Winthrop,79.0,101.0,No
11/29,Weber St,Home,Kansas City,82.0,61.0,Yes
11/29,Kansas City,Away,Weber St,61.0,82.0,No
11/29,Utah State,Home,Montana St,84.0,81.0,Yes
11/29,Montana St,Away,Utah State,81.0,84.0,No
11/29,ETSU,Home,C Arkansas,80.0,57.0,Yes
11/29,C Arkansas,Away,ETSU,57.0,80.0,No
11/29,MD Eastern,Home,Gwynedd Mercy,84.0,60.0,Yes
11/29,Gwynedd Mercy,Away,MD Eastern,60.0,84.0,No
11/29,Elon,Home,Mercer,84.0,91.0,No
11/29,Mercer,Away,Elon,91.0,84.0,Yes
11/29,American,Home,Siena,55.0,59.0,No
11/29,Siena,Away,American,59.0,55.0,Yes
11/29,Mount St Marys,Home,Howard,79.0,75.0,Yes
11/29,Howard,Away,Mount St Marys,75.0,79.0,No
11/29,South Dakota,Home,Air Force,80.0,63.0,Yes
11/29,Air Force,Away,South Dakota,63.0,80.0,No
11/29,Santa Barbara,Home,Seattle U,74.0,71.0,Yes
11/29,Seattle U,Away,Santa Barbara,71.0,74.0,No
11/29,Lafayette,Home,Ball State,55.0,37.0,Yes
11/29,Ball State,Away,Lafayette,37.0,55.0,No
11/29,Penn,Home,La Salle,73.0,71.0,Yes
11/29,La Salle,Away,Penn,71.0,73.0,No
11/29,Colgate,Home,SUNY-Oneonta,85.0,50.0,Yes
11/29,SUNY-Oneonta,Away,Colgate,50.0,85.0,No
11/29,E Kentucky,Home,Wofford,77.0,83.0,No
11/29,Wofford,Away,E Kentucky,83.0,77.0,Yes
11/29,Utah Tech,Home,UC Riverside,77.0,69.0,Yes
11/29,UC Riverside,Away,Utah Tech,69.0,77.0,No
11/29,North Florida,Home,Trinity Co Jax,111.0,67.0,Yes
11/29,Trinity Co Jax,Away,North Florida,67.0,111.0,No
11/29,Fullerton,Home,Pepperdine,83.0,69.0,Yes
11/29,Pepperdine,Away,Fullerton,69.0,83.0,No
11/29,Penn State,Home,Sacred Heart,90.0,59.0,Yes
11/29,Sacred Heart,Away,Penn State,59.0,90.0,No
11/29,Canisius,Home,Buffalo,53.0,71.0,No
11/29,Buffalo,Away,Canisius,71.0,53.0,Yes
11/29,LSU,Home,DePaul,96.0,63.0,Yes
11/29,DePaul,Away,LSU,63.0,96.0,No
11/29,Cal Poly,Home,Redlands,87.0,81.0,Yes
11/29,Redlands,Away,Cal Poly,81.0,87.0,No
11/29,Lamar,Home,Lady of Lake,90.0,46.0,Yes
11/29,Lady of Lake,Away,Lamar,46.0,90.0,No
11/29,S Illinois,Home,Little Rock,74.0,65.0,Yes
11/29,Little Rock,Away,S Illinois,65.0,74.0,No
11/29,Kent State,Home,Penn State-She,123.0,59.0,Yes
11/29,Penn State-She,Away,Kent State,59.0,123.0,No
11/29,Akron,Home,Milwaukee,105.0,81.0,Yes
11/29,Milwaukee,Away,Akron,81.0,105.0,No
11/29,Fordham,Home,UAlbany,88.0,68.0,Yes
11/29,UAlbany,Away,Fordham,68.0,88.0,No
11/29,St Thomas (MN),Home,Lawrence,87.0,52.0,Yes
11/29,Lawrence,Away,St Thomas (MN),52.0,87.0,No
11/29,Omaha,Home,Mid Am Chr,84.0,62.0,Yes
11/29,Mid Am Chr,Away,Omaha,62.0,84.0,No
11/29,N Colorado,Home,Regis U,104.0,63.0,Yes
11/29,Regis U,Away,N Colorado,63.0,104.0,No
11/29,Pacific,Home,Sacramento St,68.0,54.0,Yes
11/29,Sacramento St,Away,Pacific,54.0,68.0,No
11/29,Oregon St,Home,CA Baptist,69.0,75.0,No
11/29,CA Baptist,Away,Oregon St,75.0,69.0,Yes
11/29,N Illinois,Home,Bellarmine,0.0,0.0,No
11/29,Bellarmine,Away,N Illinois,0.0,0.0,No
11/30,Texas Tech,Home,Wyoming,76.0,72.0,Yes
11/30,Wyoming,Away,Texas Tech,72.0,76.0,No
11/30,Ball State,Home,Le Moyne,96.0,85.0,Yes
11/30,Le Moyne,Away,Ball State,85.0,96.0,No
11/30,La Salle,Home,Merrimack,60.0,66.0,No
11/30,Merrimack,Away,La Salle,66.0,60.0,Yes
11/30,New Haven,Home,Mitchell,92.0,69.0,Yes
11/30,Mitchell,Away,New Haven,69.0,92.0,No
11/30,UAlbany,Home,SUNY-Oneonta,90.0,62.0,Yes
11/30,SUNY-Oneonta,Away,UAlbany,62.0,90.0,No
11/30,Princeton,Home,Saint Joseph's,58.0,60.0,No
11/30,Saint Joseph's,Away,Princeton,60.0,58.0,Yes
11/30,Maine,Home,Siena,60.0,64.0,No
11/30,Siena,Away,Maine,64.0,60.0,Yes
11/30,C Connecticut,Home,Johnson Wales,122.0,57.0,Yes
11/30,Johnson Wales,Away,C Connecticut,57.0,122.0,No
11/30,UNC Asheville,Home,App State,67.0,55.0,Yes
11/30,App State,Away,UNC Asheville,55.0,67.0,No
11/30,UTSA,Home,South Alabama,58.0,82.0,No
11/30,South Alabama,Away,UTSA,82.0,58.0,Yes
11/30,Chattanooga,Home,Tennessee St,64.0,70.0,No
11/30,Tennessee St,Away,Chattanooga,70.0,64.0,Yes
11/30,William & Mary,Home,Old Dominion,88.0,75.0,Yes
11/30,Old Dominion,Away,William & Mary,75.0,88.0,No
11/30,Robert Morris,Home,Stetson,80.0,62.0,Yes
11/30,Stetson,Away,Robert Morris,62.0,80.0,No
11/30,Fairfield,Home,New Hampshire,72.0,68.0,Yes
11/30,New Hampshire,Away,Fairfield,68.0,72.0,No
11/30,Quinnipiac,Home,Stonehill,76.0,62.0,Yes
11/30,Stonehill,Away,Quinnipiac,62.0,76.0,No
11/30,Vermont,Home,Yale,74.0,77.0,No
11/30,Yale,Away,Vermont,77.0,74.0,Yes
11/30,Bucknell,Home,Cornell,72.0,101.0,No
11/30,Cornell,Away,Bucknell,101.0,72.0,Yes
11/30,Lafayette,Home,Monmouth,74.0,88.0,No
11/30,Monmouth,Away,Lafayette,88.0,74.0,Yes
11/30,Penn,Home,Hofstra,60.0,77.0,No
11/30,Hofstra,Away,Penn,77.0,60.0,Yes
11/30,Missouri St,Home,Northeastern St,92.0,71.0,Yes
11/30,Northeastern St,Away,Missouri St,71.0,92.0,No
11/30,West Virginia,Home,Mercyhurst,70.0,38.0,Yes
11/30,Mercyhurst,Away,West Virginia,38.0,70.0,No
11/30,Colgate,Home,Fordham,72.0,62.0,Yes
11/30,Fordham,Away,Colgate,62.0,72.0,No
11/30,Coastal,Home,Alabama A&M,67.0,60.0,Yes
11/30,Alabama A&M,Away,Coastal,60.0,67.0,No
11/30,Florida Atlantic,Home,St Bonaventure,65.0,70.0,No
11/30,St Bonaventure,Away,Florida Atlantic,70.0,65.0,Yes
11/30,Charleston,Home,Belmont,73.0,96.0,No
11/30,Belmont,Away,Charleston,96.0,73.0,Yes
11/30,W Illinois,Home,St. Ambrose,89.0,73.0,Yes
11/30,St. Ambrose,Away,W Illinois,73.0,89.0,No
11/30,North Texas,Home,Prairie View,72.0,69.0,Yes
11/30,Prairie View,Away,North Texas,69.0,72.0,No
11/30,American,Home,Longwood,92.0,66.0,Yes
11/30,Longwood,Away,American,66.0,92.0,No
11/30,The Citadel,Home,Presbyterian,41.0,69.0,No
11/30,Presbyterian,Away,The Citadel,69.0,41.0,Yes
11/30,San José St,Home,UC Irvine,63.0,72.0,No
11/30,UC Irvine,Away,San José St,72.0,63.0,Yes
11/30,Long Beach St,Home,San Diego,76.0,72.0,Yes
11/30,San Diego,Away,Long Beach St,72.0,76.0,No
11/30,Fresno St,Home,Bakersfield,71.0,76.0,No
11/30,Bakersfield,Away,Fresno St,76.0,71.0,Yes
11/30,Loyola MD,Home,Coppin St.,95.0,84.0,Yes
11/30,Coppin St.,Away,Loyola MD,84.0,95.0,No
12/1,Chicago St,Home,Saint Xavier,85.0,62.0,Yes
12/1,Saint Xavier,Away,Chicago St,62.0,85.0,No
12/1,Southern,Home,LA Christian,101.0,48.0,Yes
12/1,LA Christian,Away,Southern,48.0,101.0,No
12/1,Villanova,Home,Temple,74.0,56.0,Yes
12/1,Temple,Away,Villanova,56.0,74.0,No
12/1,Toledo,Home,Cent St OH,102.0,58.0,Yes
12/1,Cent St OH,Away,Toledo,58.0,102.0,No
12/1,Hampton,Home,Apprentice,94.0,58.0,Yes
12/1,Apprentice,Away,Hampton,58.0,94.0,No
12/1,Troy,Home,West Georgia,89.0,93.0,No
12/1,West Georgia,Away,Troy,93.0,89.0,Yes
12/1,Delaware,Home,Iona,66.0,89.0,No
12/1,Iona,Away,Delaware,89.0,66.0,Yes
12/1,Jax State,Home,North Alabama,66.0,73.0,No
12/1,North Alabama,Away,Jax State,73.0,66.0,Yes
12/1,Cincinnati,Home,Tarleton St,76.0,58.0,Yes
12/1,Tarleton St,Away,Cincinnati,58.0,76.0,No
12/1,Xavier,Home,Saint Francis,96.0,74.0,Yes
12/1,Saint Francis,Away,Xavier,74.0,96.0,No
12/1,MTSU,Home,UAB,76.0,61.0,Yes
12/1,UAB,Away,MTSU,61.0,76.0,No
12/1,Incarnate Word,Home,McNeese,71.0,67.0,Yes
12/1,McNeese,Away,Incarnate Word,67.0,71.0,No
12/1,Northern Iowa,Home,Coe,99.0,34.0,Yes
12/1,Coe,Away,Northern Iowa,34.0,99.0,No
12/1,Kansas St,Home,Bowling Green,66.0,82.0,No
12/1,Bowling Green,Away,Kansas St,82.0,66.0,Yes
12/1,Southern Utah,Home,West Coast,124.0,59.0,Yes
12/1,West Coast,Away,Southern Utah,59.0,124.0,No
12/1,New Mexico,Home,NM Highlands,97.0,47.0,Yes
12/1,NM Highlands,Away,New Mexico,47.0,97.0,No
12/1,Colorado,Home,CA Baptist,78.0,70.0,Yes
12/1,CA Baptist,Away,Colorado,70.0,78.0,No
12/1,Stanford,Home,Portland,94.0,72.0,Yes
12/1,Portland,Away,Stanford,72.0,94.0,No
12/1,E Illinois,Home,Blackburn,0.0,0.0,No
12/1,Blackburn,Away,E Illinois,0.0,0.0,No
12/2,Rutgers,Home,Purdue,65.0,81.0,No
12/2,Purdue,Away,Rutgers,81.0,65.0,Yes
12/2,Duke,Home,Florida,67.0,66.0,Yes
12/2,Florida,Away,Duke,66.0,67.0,No
12/2,Kansas,Home,Connecticut,56.0,61.0,No
12/2,Connecticut,Away,Kansas,61.0,56.0,Yes
12/2,Michigan St.,Home,Iowa,71.0,52.0,Yes
12/2,Iowa,Away,Michigan St.,52.0,71.0,No
12/2,Syracuse,Home,Tennessee,62.0,60.0,Yes
12/2,Tennessee,Away,Syracuse,60.0,62.0,No
12/2,Kentucky,Home,North Carolina,64.0,67.0,No
12/2,North Carolina,Away,Kentucky,67.0,64.0,Yes
12/2,Oregon,Home,USC,77.0,82.0,No
12/2,USC,Away,Oregon,82.0,77.0,Yes
12/2,W Carolina,Home,VA Lynchburg,124.0,62.0,Yes
12/2,VA Lynchburg,Away,W Carolina,62.0,124.0,No
12/2,Army,Home,G Washington,70.0,84.0,No
12/2,G Washington,Away,Army,84.0,70.0,Yes
12/2,UT Martin,Home,Charleston So,73.0,56.0,Yes
12/2,Charleston So,Away,UT Martin,56.0,73.0,No
12/2,Penn State,Home,Campbell,87.0,76.0,Yes
12/2,Campbell,Away,Penn State,76.0,87.0,No
12/2,Bryant,Home,Stonehill,77.0,65.0,Yes
12/2,Stonehill,Away,Bryant,65.0,77.0,No
12/2,Miami OH,Home,IU East,109.0,65.0,Yes
12/2,IU East,Away,Miami OH,65.0,109.0,No
12/2,Indiana St,Home,Eureka,99.0,57.0,Yes
12/2,Eureka,Away,Indiana St,57.0,99.0,No
12/2,South Alabama,Home,New Mexico St,77.0,75.0,Yes
12/2,New Mexico St,Away,South Alabama,75.0,77.0,No
12/2,UNC Asheville,Home,UNC Greensboro,82.0,77.0,Yes
12/2,UNC Greensboro,Away,UNC Asheville,77.0,82.0,No
12/2,Kennesaw St,Home,Jackson St,88.0,73.0,Yes
12/2,Jackson St,Away,Kennesaw St,73.0,88.0,No
12/2,George Mason,Home,Cornell,99.0,81.0,Yes
12/2,Cornell,Away,George Mason,81.0,99.0,No
12/2,Mercer,Home,Georgia St,78.0,67.0,Yes
12/2,Georgia St,Away,Mercer,67.0,78.0,No
12/2,North Florida,Home,SIUE,63.0,72.0,No
12/2,SIUE,Away,North Florida,72.0,63.0,Yes
12/2,Jacksonville,Home,Florida A&M,85.0,82.0,Yes
12/2,Florida A&M,Away,Jacksonville,82.0,85.0,No
12/2,Butler,Home,E Michigan,84.0,68.0,Yes
12/2,E Michigan,Away,Butler,68.0,84.0,No
12/2,East Carolina,Home,MD Eastern,68.0,56.0,Yes
12/2,MD Eastern,Away,East Carolina,56.0,68.0,No
12/2,Charlotte,Home,NC A&T,74.0,57.0,Yes
12/2,NC A&T,Away,Charlotte,57.0,74.0,No
12/2,Binghamton,Home,Lehigh,80.0,71.0,Yes
12/2,Lehigh,Away,Binghamton,71.0,80.0,No
12/2,Yale,Home,SUNY-Maritime,117.0,53.0,Yes
12/2,SUNY-Maritime,Away,Yale,53.0,117.0,No
12/2,Rhode Island,Home,Brown,66.0,56.0,Yes
12/2,Brown,Away,Rhode Island,56.0,66.0,No
12/2,Duquesne,Home,William & Mary,79.0,83.0,No
12/2,William & Mary,Away,Duquesne,83.0,79.0,Yes
12/2,Dayton,Home,ETSU,88.0,71.0,Yes
12/2,ETSU,Away,Dayton,71.0,88.0,No
12/2,Providence,Home,Fairleigh Dickinson,94.0,64.0,Yes
12/2,Fairleigh Dickinson,Away,Providence,64.0,94.0,No
12/2,South Carolina,Home,Virginia Tech,83.0,86.0,No
12/2,Virginia Tech,Away,South Carolina,86.0,83.0,Yes
12/2,Wake Forest,Home,Oklahoma,68.0,86.0,No
12/2,Oklahoma,Away,Wake Forest,86.0,68.0,Yes
12/2,Pittsburgh,Home,Texas A&M,73.0,81.0,No
12/2,Texas A&M,Away,Pittsburgh,81.0,73.0,Yes
12/2,SE Missouri,Home,St Mary's,88.0,57.0,Yes
12/2,St Mary's,Away,SE Missouri,57.0,88.0,No
12/2,Drake,Home,W Illinois,108.0,57.0,Yes
12/2,W Illinois,Away,Drake,57.0,108.0,No
12/2,Wichita St,Home,Mount Marty,95.0,69.0,Yes
12/2,Mount Marty,Away,Wichita St,69.0,95.0,No
12/2,Tulane,Home,Grambling,65.0,63.0,Yes
12/2,Grambling,Away,Tulane,63.0,65.0,No
12/2,LIU,Home,Winthrop,92.0,94.0,No
12/2,Winthrop,Away,LIU,94.0,92.0,Yes
12/2,Tulsa,Home,Mnhttn Chrstn,111.0,60.0,Yes
12/2,Mnhttn Chrstn,Away,Tulsa,60.0,111.0,No
12/2,North Texas,Home,Hou Christian,77.0,75.0,Yes
12/2,Hou Christian,Away,North Texas,75.0,77.0,No
12/2,Maryland,Home,Wagner,89.0,63.0,Yes
12/2,Wagner,Away,Maryland,63.0,89.0,No
12/2,Murray St,Home,Morehead St,84.0,52.0,Yes
12/2,Morehead St,Away,Murray St,52.0,84.0,No
12/2,Bradley,Home,Washington St,64.0,60.0,Yes
12/2,Washington St,Away,Bradley,60.0,64.0,No
12/2,Arkansas St,Home,UT Arlington,83.0,63.0,Yes
12/2,UT Arlington,Away,Arkansas St,63.0,83.0,No
12/2,N Illinois,Home,Lindenwood,64.0,99.0,No
12/2,Lindenwood,Away,N Illinois,99.0,64.0,Yes
12/2,Marquette,Home,Valparaiso,75.0,72.0,Yes
12/2,Valparaiso,Away,Marquette,72.0,75.0,No
12/2,Baylor,Home,Sacramento St,110.0,88.0,Yes
12/2,Sacramento St,Away,Baylor,88.0,110.0,No
12/2,Loyola Chicago,Home,C Michigan,83.0,72.0,Yes
12/2,C Michigan,Away,Loyola Chicago,72.0,83.0,No
12/2,Oklahoma St,Home,Sam Houston,93.0,83.0,Yes
12/2,Sam Houston,Away,Oklahoma St,83.0,93.0,No
12/2,Grand Canyon,Home,Stetson,67.0,45.0,Yes
12/2,Stetson,Away,Grand Canyon,45.0,67.0,No
12/2,Pepperdine,Home,Abilene Chrstn,63.0,71.0,No
12/2,Abilene Chrstn,Away,Pepperdine,71.0,63.0,Yes
12/2,Creighton,Home,Nicholls,96.0,76.0,Yes
12/2,Nicholls,Away,Creighton,76.0,96.0,No
12/2,Mississippi,Home,Miami,66.0,75.0,No
12/2,Miami,Away,Mississippi,75.0,66.0,Yes
12/2,Florida St,Home,Georgia,73.0,107.0,No
12/2,Georgia,Away,Florida St,107.0,73.0,Yes
12/2,Notre Dame,Home,Missouri,76.0,71.0,Yes
12/2,Missouri,Away,Notre Dame,71.0,76.0,No
12/2,Nevada,Home,UC San Diego,76.0,70.0,Yes
12/2,UC San Diego,Away,Nevada,70.0,76.0,No
12/2,California,Home,Utah,79.0,72.0,Yes
12/2,Utah,Away,California,72.0,79.0,No
12/2,LMU,Home,Saint Louis,70.0,91.0,No
12/2,Saint Louis,Away,LMU,91.0,70.0,Yes
12/3,Arkansas,Home,Louisville,89.0,80.0,Yes
12/3,Louisville,Away,Arkansas,80.0,89.0,No
12/3,BYU,Home,CA Baptist,91.0,60.0,Yes
12/3,CA Baptist,Away,BYU,60.0,91.0,No
12/3,Iowa State,Home,Alcorn St,132.0,68.0,Yes
12/3,Alcorn St,Away,Iowa State,68.0,132.0,No
12/3,Alabama,Home,Clemson,90.0,84.0,Yes
12/3,Clemson,Away,Alabama,84.0,90.0,No
12/3,Vanderbilt,Home,SMU,88.0,69.0,Yes
12/3,SMU,Away,Vanderbilt,69.0,88.0,No
12/3,Auburn,Home,N.C. State,83.0,73.0,Yes
12/3,N.C. State,Away,Auburn,73.0,83.0,No
12/3,Minnesota,Home,Indiana,73.0,64.0,Yes
12/3,Indiana,Away,Minnesota,64.0,73.0,No
12/3,UIC,Home,AR-Pine Bluff,62.0,63.0,No
12/3,AR-Pine Bluff,Away,UIC,63.0,62.0,Yes
12/3,Lipscomb,Home,Tennessee Tech,83.0,80.0,Yes
12/3,Tennessee Tech,Away,Lipscomb,80.0,83.0,No
12/3,Boston U,Home,VTSU Johnson,104.0,57.0,Yes
12/3,VTSU Johnson,Away,Boston U,57.0,104.0,No
12/3,Holy Cross,Home,Northeastern,76.0,59.0,Yes
12/3,Northeastern,Away,Holy Cross,59.0,76.0,No
12/3,App State,Home,VA Lynchburg,133.0,45.0,Yes
12/3,VA Lynchburg,Away,App State,45.0,133.0,No
12/3,Youngstown St,Home,Wright St,69.0,68.0,Yes
12/3,Wright St,Away,Youngstown St,68.0,69.0,No
12/3,W Michigan,Home,So Indiana,88.0,74.0,Yes
12/3,So Indiana,Away,W Michigan,74.0,88.0,No
12/3,James Madison,Home,North Carolina Central,67.0,62.0,Yes
12/3,North Carolina Central,Away,James Madison,62.0,67.0,No
12/3,Lamar,Home,Louisiana,65.0,55.0,Yes
12/3,Louisiana,Away,Lamar,55.0,65.0,No
12/3,American,Home,Drexel,75.0,73.0,Yes
12/3,Drexel,Away,American,73.0,75.0,No
12/3,Towson,Home,Cornell,93.0,80.0,Yes
12/3,Cornell,Away,Towson,80.0,93.0,No
12/3,Dartmouth,Home,New Hampshire,69.0,68.0,Yes
12/3,New Hampshire,Away,Dartmouth,68.0,69.0,No
12/3,SC Upstate,Home,Coastal,85.0,78.0,Yes
12/3,Coastal,Away,SC Upstate,78.0,85.0,No
12/3,Longwood,Home,Pfeiffer,101.0,55.0,Yes
12/3,Pfeiffer,Away,Longwood,55.0,101.0,No
12/3,High Point,Home,S Illinois,84.0,86.0,No
12/3,S Illinois,Away,High Point,86.0,84.0,Yes
12/3,Wofford,Home,Presbyterian,63.0,56.0,Yes
12/3,Presbyterian,Away,Wofford,56.0,63.0,No
12/3,GA Southern,Home,Louisiana Tech,77.0,69.0,Yes
12/3,Louisiana Tech,Away,GA Southern,69.0,77.0,No
12/3,Radford,Home,Southern Miss,75.0,82.0,No
12/3,Southern Miss,Away,Radford,82.0,75.0,Yes
12/3,Elon,Home,Furman,88.0,97.0,No
12/3,Furman,Away,Elon,97.0,88.0,Yes
12/3,UNC Wilmington,Home,Marshall,70.0,69.0,Yes
12/3,Marshall,Away,UNC Wilmington,69.0,70.0,No
12/3,Queens,Home,Gardner-Webb,107.0,74.0,Yes
12/3,Gardner-Webb,Away,Queens,74.0,107.0,No
12/3,FIU,Home,FGCU,89.0,83.0,Yes
12/3,FGCU,Away,FIU,83.0,89.0,No
12/3,Bellarmine,Home,Midway,99.0,60.0,Yes
12/3,Midway,Away,Bellarmine,60.0,99.0,No
12/3,Kent State,Home,Austin Peay,96.0,84.0,Yes
12/3,Austin Peay,Away,Kent State,84.0,96.0,No
12/3,Ohio,Home,Maine,79.0,57.0,Yes
12/3,Maine,Away,Ohio,57.0,79.0,No
12/3,Hampton,Home,Loyola MD,93.0,71.0,Yes
12/3,Loyola MD,Away,Hampton,71.0,93.0,No
12/3,Delaware St,Home,Navy,59.0,66.0,No
12/3,Navy,Away,Delaware St,66.0,59.0,Yes
12/3,West Virginia,Home,Coppin St.,91.0,49.0,Yes
12/3,Coppin St.,Away,West Virginia,49.0,91.0,No
12/3,Columbia,Home,Hofstra,72.0,70.0,Yes
12/3,Hofstra,Away,Columbia,70.0,72.0,No
12/3,N Kentucky,Home,Cleveland St,95.0,80.0,Yes
12/3,Cleveland St,Away,N Kentucky,80.0,95.0,No
12/3,Oakland,Home,Purdue FW,101.0,92.0,Yes
12/3,Purdue FW,Away,Oakland,92.0,101.0,No
12/3,Detroit Mercy,Home,IU Indy,92.0,78.0,Yes
12/3,IU Indy,Away,Detroit Mercy,78.0,92.0,No
12/3,St Bonaventure,Home,Bloomsburg,83.0,43.0,Yes
12/3,Bloomsburg,Away,St Bonaventure,43.0,83.0,No
12/3,Mount St Marys,Home,Sacred Heart,80.0,87.0,No
12/3,Sacred Heart,Away,Mount St Marys,87.0,80.0,Yes
12/3,Seton Hall,Home,C Connecticut,77.0,61.0,Yes
12/3,C Connecticut,Away,Seton Hall,61.0,77.0,No
12/3,UMass,Home,Harvard,78.0,71.0,Yes
12/3,Harvard,Away,UMass,71.0,78.0,No
12/3,Saint Francis,Home,Penn State-She,100.0,41.0,Yes
12/3,Penn State-She,Away,Saint Francis,41.0,100.0,No
12/3,Akron,Home,Bucknell,97.0,77.0,Yes
12/3,Bucknell,Away,Akron,77.0,97.0,No
12/3,SF Austin,Home,UT Rio Grande,73.0,60.0,Yes
12/3,UT Rio Grande,Away,SF Austin,60.0,73.0,No
12/3,Boston College,Home,LSU,69.0,78.0,No
12/3,LSU,Away,Boston College,78.0,69.0,Yes
12/3,UL Monroe,Home,Miss Valley St,66.0,52.0,Yes
12/3,Miss Valley St,Away,UL Monroe,52.0,66.0,No
12/3,C Arkansas,Home,Little Rock,85.0,47.0,Yes
12/3,Little Rock,Away,C Arkansas,47.0,85.0,No
12/3,Yale,Home,Brandeis,79.0,61.0,Yes
12/3,Brandeis,Away,Yale,61.0,79.0,No
12/3,Belmont,Home,Richmond,76.0,84.0,No
12/3,Richmond,Away,Belmont,84.0,76.0,Yes
12/3,Alabama A&M,Home,Tennessee St,80.0,53.0,Yes
12/3,Tennessee St,Away,Alabama A&M,53.0,80.0,No
12/3,Tarleton St,Home,Howard Payne,119.0,54.0,Yes
12/3,Howard Payne,Away,Tarleton St,54.0,119.0,No
12/3,Omaha,Home,N Colorado,70.0,75.0,No
12/3,N Colorado,Away,Omaha,75.0,70.0,Yes
12/3,N Arizona,Home,S Dakota St,62.0,75.0,No
12/3,S Dakota St,Away,N Arizona,75.0,62.0,Yes
12/3,Monmouth,Home,Princeton,63.0,58.0,Yes
12/3,Princeton,Away,Monmouth,58.0,63.0,No
12/3,Kansas City,Home,Idaho St,59.0,68.0,No
12/3,Idaho St,Away,Kansas City,68.0,59.0,Yes
12/3,Georgetown,Home,UMBC,90.0,81.0,Yes
12/3,UMBC,Away,Georgetown,81.0,90.0,No
12/3,Evansville,Home,Ball State,64.0,52.0,Yes
12/3,Ball State,Away,Evansville,52.0,64.0,No
12/3,Illinois St,Home,E Kentucky,89.0,78.0,Yes
12/3,E Kentucky,Away,Illinois St,78.0,89.0,No
12/3,South Dakota,Home,Portland St,71.0,77.0,No
12/3,Portland St,Away,South Dakota,77.0,71.0,Yes
12/3,Memphis,Home,New Orleans,86.0,70.0,Yes
12/3,New Orleans,Away,Memphis,70.0,86.0,No
12/3,Montana,Home,N Dakota St,72.0,81.0,No
12/3,N Dakota St,Away,Montana,81.0,72.0,Yes
12/3,Weber St,Home,Oral Roberts,92.0,66.0,Yes
12/3,Oral Roberts,Away,Weber St,66.0,92.0,No
12/3,Rice,Home,Texas St,77.0,72.0,Yes
12/3,Texas St,Away,Rice,72.0,77.0,No
12/3,Montana St,Home,St Thomas (MN),82.0,74.0,Yes
12/3,St Thomas (MN),Away,Montana St,74.0,82.0,No
12/3,Wisconsin,Home,Northwestern,85.0,73.0,Yes
