Team,NET_Rank,Record
UTEP,265,1-8
Brown,266,4-7
Texas St.,267,6-6
La Salle,268,3-9
Pepperdine,269,3-10
N.C. A&T,270,5-5
East Texas A&M,271,4-7
West Ga.,272,4-6
Evansville,273,2-10
Alabama A&M,274,4-6
North Ala.,275,3-6
Norfolk St.,276,3-10
Chattanooga,277,3-7
South Dakota,278,5-7
Princeton,279,3-11
Western Caro.,280,2-7
Northern Ariz.,281,3-7
Western Mich.,282,5-7
Houston Christian,283,3-8
Eastern Ky.,284,2-9
Eastern Wash.,285,1-11
Sacred Heart,286,4-9
Presbyterian,287,4-8
Boston U.,288,4-8
Radford,289,4-8
Bethune-Cookman,290,2-10
Saint Peter's,291,5-5
Prairie View,292,1-8
Oral Roberts,293,2-10
Alabama St.,294,2-10
Drexel,295,5-8
Southeastern La.,296,3-9
Southern U.,297,1-9
Le Moyne,298,4-8
Delaware,299,4-7
Morehead St.,300,3-7
UNC Greensboro,301,2-9
East Carolina,302,4-8
Ark.-Pine Bluff,303,1-10
UTSA,304,2-8
Army West Point,305,4-7
CSU Bakersfield,306,4-8
North Dakota,307,3-10
Manhattan,308,5-8
Air Force,309,3-10
Mercyhurst,310,3-8
Holy Cross,311,3-8
Mount St. Mary's,312,4-9
Lehigh,313,2-9
NIU,314,3-7
Chicago St.,315,1-11
Eastern Ill.,316,2-8
Longwood,317,5-7
Jacksonville,318,3-8
UAlbany,319,1-11
Georgia St.,320,2-10
Bucknell,321,3-10
UMass Lowell,322,2-10
IU Indy,323,2-11
New Hampshire,324,2-9
Bryant,325,2-10
Loyola Chicago,326,4-9
New Haven,327,2-8
Northwestern St.,328,1-9
Florida A&M,329,1-8
Louisiana,330,3-11
Ball St.,331,2-9
Central Mich.,332,2-10
UMES,333,2-13
Lafayette,334,2-10
Cleveland St.,335,2-10
Kansas City,336,0-11
Canisius,337,4-8
Little Rock,338,2-9
Southern Utah,339,1-10
North Florida,340,0-11
Maine,341,1-13
Alcorn,342,1-11
Texas Southern,343,0-9
Southern Ind.,344,1-9
VMI,345,2-8
NJIT,346,4-9
Stonehill,347,1-10
Loyola Maryland,348,2-9
Stetson,349,2-9
Western Ill.,350,1-9
N.C. Central,351,0-11
ULM,352,1-11
FDU,353,0-10
Delaware St.,354,2-9
Jackson St.,355,1-12
Niagara,356,2-9
Saint Francis,357,0-11
The Citadel,358,0-11
Rider,359,0-11
Gardner-Webb,360,0-12
Morgan St.,361,1-11
South Carolina St.,362,0-14
Binghamton,363,1-11
Mississippi Val.,364,0-13
Coppin St.,365,1-15
