ap_rank,ap_name
1,MICH Michigan (20)
2,ARIZ Arizona (11)
3,ISU Iowa State
4,CONN UConn
5,DUKE Duke
6,PUR Purdue
7,GONZ Gonzaga
8,HOU Houston
9,MSU Michigan State
10,BYU BYU
11,VAN Vanderbilt
12,UNC North Carolina
13,NEB Nebraska
15,ALA Alabama
16,TTU Texas Tech
17,KU Kansas
18,ARK Arkansas
19,ILL Illinois
20,TENN Tennessee
21,UVA Virginia
22,FLA Florida
23,IOWA Iowa
24,UGA Georgia
25,SJU St. John's
