sos_name,sos,source_url,updated_at_utc
Marquette,59,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Northwestern,60,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Virginia,61,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Ohio,62,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
South Florida,63,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
TCU,64,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Utah,65,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
VCU,66,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Santa Clara,67,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Seton Hall,68,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Rutgers,69,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
La Salle,70,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UNLV,71,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
FAU,72,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Washington,73,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UCLA,74,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Missouri,75,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Notre Dame,76,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Saint Bonaventure,77,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
George Washington,78,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Evansville,79,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Duquesne,80,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Dayton,81,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
San Francisco,82,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Clemson,83,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Georgia Tech,84,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Boston College,85,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Providence,86,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Northern Iowa,87,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Nevada,88,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Georgetown,89,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Air Force,90,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Penn State,91,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
George Mason,92,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
LSU,93,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Middle Tennessee,94,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Minnesota,95,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Tulane,96,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Gonzaga,97,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Washington State,98,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
UTEP,99,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Southern Illinois,100,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Butler,101,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Princeton,102,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
Texas A&M,103,https://www.warrennolan.com/basketball/2026/sos-rpi-predict,2026-01-05T05:57:47.351995Z
